route_id,service_id,trip_id,direction_id
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00001,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00002,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00003,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00004,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00005,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00006,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00007,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00008,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00009,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00010,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00011,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00012,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00013,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00014,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00015,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00016,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00017,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00018,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00019,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00020,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00021,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00022,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00023,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00024,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00025,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00026,0
MTR_EAL,WEEKDAY,MTR_EAL_WEEKDAY_00027,0
